Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,9.69,10.0,9.545,9.83,312200,9.83
2015-12-22,10.2,10.2,9.64,9.78,14200,9.78
2015-12-23,9.77,10.17,9.11,9.4,85700,9.4
2015-12-24,9.38,9.58,8.74,9.02,38800,9.02
2015-12-28,9.05,9.54,8.75,8.95,70500,8.95
2015-12-29,9.07,9.23,8.66,8.71,81200,8.71
2015-12-30,8.65,9.12,8.46,8.75,65300,8.75
2015-12-31,8.75,9.13,8.62,8.82,33300,8.82
2016-01-04,8.75,9.07,8.47,8.75,50600,8.75
2016-01-05,8.805,9.09,8.61,9.04,42000,9.04
2016-01-06,9.04,9.04,8.65,8.77,46800,8.77
2016-01-07,8.62,8.87,8.37,8.43,31800,8.43
2016-01-08,8.41,8.62,7.85,7.92,44500,7.92
2016-01-11,7.83,7.98,7.37,7.66,43700,7.66
2016-01-12,7.7,8.19,7.35,7.85,55300,7.85
2016-01-13,8.01,8.2,7.745,7.93,40300,7.93
2016-01-14,7.89,8.5,7.45,8.15,34600,8.15
2016-01-15,7.95,9.08,7.85,8.2,47800,8.2
