Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,3.64,3.68,3.425,3.54,1284700,3.54
2015-12-16,3.54,3.8,3.53,3.72,79600,3.72
2015-12-17,3.72,3.98,3.72,3.84,57800,3.84
2015-12-18,3.86,4.11,3.86,3.91,68400,3.91
2015-12-21,3.93,4.269,3.93,3.95,63000,3.95
2015-12-22,3.86,4.1,3.76,3.81,109100,3.81
2015-12-23,3.85,4.135,3.55,3.76,110000,3.76
2015-12-24,3.94,3.99,3.773,3.99,35200,3.99
2015-12-28,3.99,4.245,3.55,3.57,76100,3.57
2015-12-29,3.58,3.73,3.39,3.56,490200,3.56
2015-12-30,3.46,3.73,3.44,3.45,129800,3.45
2015-12-31,3.47,3.62,3.35,3.4,190400,3.4
2016-01-04,3.42,3.72,3.36,3.51,90100,3.51
2016-01-05,3.55,3.63,3.46,3.58,32100,3.58
2016-01-06,3.54,3.67,3.44,3.49,42500,3.49
2016-01-07,3.45,3.69,3.45,3.59,67100,3.59
2016-01-08,3.58,3.58,3.4,3.45,75400,3.45
2016-01-11,3.41,3.45,3.31,3.38,87300,3.38
2016-01-12,3.4,3.5,3.26,3.33,52500,3.33
2016-01-13,3.33,3.46,3.18,3.29,76000,3.29
2016-01-14,3.31,3.45,3.14,3.36,106200,3.36
