Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,10.0,10.83,9.8,10.75,27500,10.75
2015-12-22,10.5,10.5,8.67,9.78,56200,9.78
2015-12-23,9.83,9.83,9.13,9.57,35300,9.57
2015-12-24,9.49,9.76,9.23,9.43,6600,9.43
2015-12-28,9.33,9.33,8.73,8.92,15200,8.92
2015-12-29,8.94,9.0,8.2,8.41,39100,8.41
2015-12-30,8.31,8.47,7.345,7.59,83900,7.59
2015-12-31,7.57,7.95,7.01,7.93,71600,7.93
2016-01-04,7.77,7.77,7.01,7.29,49600,7.29
2016-01-05,7.27,7.756,7.03,7.66,38100,7.66
2016-01-06,7.33,7.73,7.28,7.6,26100,7.6
2016-01-07,7.33,7.449,6.582999999999999,7.25,41500,7.25
2016-01-08,7.23,7.48,6.85,7.29,31600,7.29
2016-01-11,7.14,7.2,6.49,6.93,82400,6.93
2016-01-12,6.86,7.21,6.75,6.91,58600,6.91
2016-01-13,6.85,7.245,6.39,6.51,62800,6.51
2016-01-14,6.71,6.82,5.62,6.63,27300,6.63
2016-01-15,6.5,6.5,5.03,5.51,37000,5.51
