Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,9.56,10.02,9.03,9.9,93500,9.9
2015-12-22,9.99,10.24,9.76,10.06,148400,10.06
2015-12-23,10.34,12.2,10.05,11.03,3010200,11.03
2015-12-24,10.87,11.4,10.87,11.0,276200,11.0
2015-12-28,11.0,11.13,10.57,10.62,280300,10.62
2015-12-29,10.75,11.47,10.54,11.35,205200,11.35
2015-12-30,11.36,12.35,11.2,12.18,280600,12.18
2015-12-31,12.12,12.28,11.75,12.06,169600,12.06
2016-01-04,12.04,12.04,11.33,11.82,341500,11.82
2016-01-05,11.85,12.85,11.53,12.29,551600,12.29
2016-01-06,12.15,12.38,11.64,11.68,809700,11.68
2016-01-07,11.34,11.818,10.17,10.65,825800,10.65
2016-01-08,10.75,10.88,10.22,10.53,544700,10.53
2016-01-11,10.61,10.63,9.05,9.42,820500,9.42
2016-01-12,9.51,9.729,7.81,8.51,774800,8.51
2016-01-13,8.45,8.822000000000001,7.14,7.18,546900,7.18
2016-01-14,7.13,8.33,6.75,7.55,673200,7.55
2016-01-15,7.52,7.96,7.345,7.66,414100,7.66
