Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,7.74,8.03,6.86,6.87,3508200,6.87
2015-12-16,7.0,7.29,6.87,7.15,1706800,7.15
2015-12-17,7.26,7.55,7.05,7.46,1284300,7.46
2015-12-18,7.46,7.95,7.3,7.49,3259000,7.49
2015-12-21,7.67,7.86,7.49,7.77,1630400,7.77
2015-12-22,7.53,7.77,7.26,7.5,1031500,7.5
2015-12-23,7.52,7.64,7.21,7.42,660400,7.42
2015-12-24,7.45,7.5,7.1,7.1,698800,7.1
2015-12-28,7.1,7.12,6.5,7.03,1780000,7.03
2015-12-29,5.96,6.74,5.54,6.28,6580100,6.28
2015-12-30,5.89,6.06,5.4,5.5,3773500,5.5
2015-12-31,5.09,5.61,4.6,5.57,4383600,5.57
2016-01-04,5.49,6.34,5.3,6.26,2658300,6.26
2016-01-05,6.12,6.327000000000001,6.0,6.12,1436100,6.12
2016-01-06,6.05,6.05,4.95,5.11,2632800,5.11
2016-01-07,4.98,5.11,4.47,4.53,1951500,4.53
2016-01-08,4.7,4.88,3.77,4.6,3325000,4.6
2016-01-11,5.68,5.8,4.82,5.16,5171500,5.16
2016-01-12,5.03,5.09,4.06,4.1,2671100,4.1
2016-01-13,4.05,4.053,3.5,3.67,2196300,3.67
2016-01-14,3.77,4.29,3.3,4.05,2056300,4.05
